city,lat,temp,humidity,windspeed,cloudiness
Rikitea,-23.12,68.45,71,9.45,52
Mahebourg,-20.41,69.332,94,3.1,40
Hilo,19.71,73.58,88,9.54,90
Bredasdorp,-34.53,46.166,93,1.5,0
Carbonear,47.73,72.392,61,6.2,20
Atuona,-9.8,80.50999999999999,74,7.93,22
Ushuaia,-54.81,41.0,75,1.39,75
Saint-Pierre,48.95,59.882,67,2.1,0
Port Alfred,-33.59,60.007999999999996,78,0.89,0
Zhumadian,33.01,79.43,83,1.21,100
Vaini,15.34,76.55,89,3.38,100
Qaanaaq,77.48,48.29,53,0.57,100
Wellington,-41.29,44.870000000000005,70,11.3,58
Punta Arenas,-53.16,41.0,86,4.1,40
Nikolskoye,59.7,53.132,76,4.0,90
Hobart,-42.88,48.452,57,10.3,20
Newcastle,-32.93,49.586,100,3.1,90
Yellowknife,62.45,69.368,37,1.5,75
Saskylakh,71.97,45.95,79,2.84,0
Salinas,36.67,69.674,68,5.7,1
Omboue,-1.57,74.57,88,5.72,0
Kishtwar,33.31,55.67,98,0.9,99
Bluff,-23.58,55.49,84,4.51,44
Forrest City,35.01,89.042,52,1.5,60
Albany,42.65,78.368,69,1.5,75
Arraial do Cabo,-22.97,72.482,83,5.1,0
Teahupoo,-17.83,80.276,69,1.0,75
Tuatapere,-46.13,44.996,91,4.47,87
Cape Town,-33.93,52.754,93,3.1,20
Kuopio,62.89,53.6,66,4.6,90
Saint-Philippe,45.36,82.472,45,6.7,90
Karratha,-20.74,68.81,23,8.82,0
Lyudinovo,53.86,50.09,85,2.68,99
Dwarka,28.58,86.30600000000001,89,2.1,75
Sola,-3.17,70.97,56,1.6,98
Puerto Ayora,-0.74,73.094,69,8.7,20
Ushirombo,-3.47,71.87,45,1.7,94
Bani,16.02,86.81,86,0.53,39
Ellisras,-23.67,59.09,16,4.25,0
Stromness,42.87,79.754,47,3.6,20
Mitu,36.2,66.65,23,1.65,0
Necochea,-38.55,53.51,60,3.67,100
Bethanien,-26.5,42.53,62,0.82,0
Mar del Plata,-46.43,45.41,52,6.22,0
Petrov Val,50.14,51.17,83,6.54,0
High Level,58.52,68.0,49,2.1,75
Papar,5.73,78.224,83,2.1,75
Thompson,55.74,66.2,82,2.6,90
Hovd,63.83,64.328,55,3.6,0
New Norfolk,-42.78,48.434,57,10.3,20
